#    L    TT             EE             BB             TE             PP             TP             EP          
   207    0.58636E+04    0.68534E+00    0.00000E+00   -0.67844E+01    0.50430E-07    0.13640E-03   -0.29002E-06
   208    0.58725E+04    0.69089E+00    0.00000E+00   -0.53562E+01    0.50175E-07    0.13530E-03   -0.27518E-06
   209    0.58808E+04    0.69753E+00    0.00000E+00   -0.39086E+01    0.49921E-07    0.13421E-03   -0.26038E-06
   210    0.58885E+04    0.70532E+00    0.00000E+00   -0.24427E+01    0.49670E-07    0.13312E-03   -0.24561E-06
   211    0.58956E+04    0.71429E+00    0.00000E+00   -0.95839E+00    0.49421E-07    0.13205E-03   -0.23089E-06
   212    0.59019E+04    0.72447E+00    0.00000E+00    0.54331E+00    0.49174E-07    0.13098E-03   -0.21620E-06
   213    0.59077E+04    0.73591E+00    0.00000E+00    0.20624E+01    0.48929E-07    0.12992E-03   -0.20155E-06
   214    0.59128E+04    0.74861E+00    0.00000E+00    0.35978E+01    0.48686E-07    0.12887E-03   -0.18694E-06
   215    0.59173E+04    0.76274E+00    0.00000E+00    0.51487E+01    0.48445E-07    0.12783E-03   -0.17237E-06
   216    0.59210E+04    0.77814E+00    0.00000E+00    0.67155E+01    0.48205E-07    0.12680E-03   -0.15784E-06
   217    0.59243E+04    0.79496E+00    0.00000E+00    0.82963E+01    0.47968E-07    0.12578E-03   -0.14335E-06
   218    0.59268E+04    0.81319E+00    0.00000E+00    0.98913E+01    0.47733E-07    0.12476E-03   -0.12889E-06
   219    0.59287E+04    0.83285E+00    0.00000E+00    0.11501E+02    0.47500E-07    0.12375E-03   -0.11448E-06
   220    0.59300E+04    0.85407E+00    0.00000E+00    0.13122E+02    0.47268E-07    0.12275E-03   -0.10011E-06
   221    0.59306E+04    0.87680E+00    0.00000E+00    0.14756E+02    0.47038E-07    0.12176E-03   -0.85781E-07
   222    0.59307E+04    0.90116E+00    0.00000E+00    0.16401E+02    0.46811E-07    0.12077E-03   -0.71492E-07
   223    0.59300E+04    0.92711E+00    0.00000E+00    0.18059E+02    0.46585E-07    0.11979E-03   -0.57245E-07
   224    0.59288E+04    0.95462E+00    0.00000E+00    0.19724E+02    0.46361E-07    0.11882E-03   -0.43040E-07
   225    0.59269E+04    0.98386E+00    0.00000E+00    0.21401E+02    0.46138E-07    0.11786E-03   -0.28877E-07
   226    0.59244E+04    0.10148E+01    0.00000E+00    0.23086E+02    0.45918E-07    0.11690E-03   -0.14756E-07
   227    0.59211E+04    0.10475E+01    0.00000E+00    0.24780E+02    0.45699E-07    0.11596E-03   -0.67883E-09
   228    0.59174E+04    0.10819E+01    0.00000E+00    0.26482E+02    0.45482E-07    0.11502E-03    0.13356E-07
   229    0.59130E+04    0.11182E+01    0.00000E+00    0.28189E+02    0.45266E-07    0.11408E-03    0.27346E-07
